,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionOpenSince,Promo2Date
0,1,c,a,1270.0,9.0,2008.0,0,,,,2008.75,0.0
1,2,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2007.91666667,2010.25
2,3,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2007.0,2011.26923077
3,4,c,c,620.0,9.0,2009.0,0,,,,2009.75,0.0
4,5,a,a,29910.0,4.0,2015.0,0,,,,2015.33333333,0.0
5,6,a,a,310.0,12.0,2013.0,0,,,,2014.0,0.0
6,7,a,c,24000.0,4.0,2013.0,0,,,,2013.33333333,0.0
7,8,a,a,7520.0,10.0,2014.0,0,,,,2014.83333333,0.0
8,9,a,c,2030.0,8.0,2000.0,0,,,,2000.66666667,0.0
9,10,a,a,3160.0,9.0,2009.0,0,,,,2009.75,0.0
10,11,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2011.91666667,2012.01923077
11,12,a,c,1070.0,7.0,2008.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2008.58333333,2010.25
12,13,d,a,310.0,7.0,2008.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2008.58333333,2009.86538462
13,14,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2014.25,2011.76923077
14,15,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2010.25,2011.26923077
15,16,a,c,3270.0,7.0,2008.0,0,,,,2008.58333333,0.0
16,17,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",2006.0,2010.5
17,18,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",2010.5,2012.26923077
18,19,a,c,3240.0,7.0,2008.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec",2008.58333333,2011.42307692
19,20,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2009.41666667,2014.76923077
20,21,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct",1999.83333333,2009.86538462
21,22,a,a,1040.0,7.0,2008.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2008.58333333,2012.42307692
22,23,d,a,4060.0,8.0,2005.0,0,,,,2005.66666667,0.0
23,24,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2000.25,2011.76923077
24,25,c,a,430.0,4.0,2003.0,0,,,,2003.33333333,0.0
25,26,d,a,2300.0,7.0,2008.0,0,,,,2008.58333333,0.0
26,27,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct",2005.08333333,2011.09615385
27,28,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",2014.83333333,2015.11538462
28,29,d,c,2170.0,7.0,2008.0,0,,,,2008.58333333,0.0
29,30,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2014.16666667,2014.19230769
30,31,d,c,9800.0,7.0,2012.0,0,,,,2012.58333333,0.0
