,Unnamed: 0,Store,Weekday,Date,People,Open/Close,Promotions of the store,Holiday_of_the_city,Holiday_Of_Educational_Institute,Promo2On,Promo2Date
0,0,1,5,31-07-2015,555,Open,Yes,No Holiday,Yes,0,0.0
1,1,2,5,31-07-2015,625,Open,Yes,No Holiday,Yes,1,2010.25
2,2,3,5,31-07-2015,821,Open,Yes,No Holiday,Yes,1,2011.26923077
3,3,4,5,31-07-2015,1498,Open,Yes,No Holiday,Yes,0,0.0
4,4,5,5,31-07-2015,559,Open,Yes,No Holiday,Yes,0,0.0
5,5,6,5,31-07-2015,589,Open,Yes,No Holiday,Yes,0,0.0
6,6,7,5,31-07-2015,1414,Open,Yes,No Holiday,Yes,0,0.0
7,7,8,5,31-07-2015,833,Open,Yes,No Holiday,Yes,0,0.0
8,8,9,5,31-07-2015,687,Open,Yes,No Holiday,Yes,0,0.0
9,9,10,5,31-07-2015,681,Open,Yes,No Holiday,Yes,0,0.0
10,10,11,5,31-07-2015,1236,Open,Yes,No Holiday,Yes,1,2012.01923077
11,11,12,5,31-07-2015,962,Open,Yes,No Holiday,Yes,1,2010.25
12,12,13,5,31-07-2015,568,Open,Yes,No Holiday,No,0,0.0
13,13,14,5,31-07-2015,710,Open,Yes,No Holiday,Yes,1,2011.76923077
14,14,15,5,31-07-2015,766,Open,Yes,No Holiday,Yes,1,2011.26923077
15,15,16,5,31-07-2015,979,Open,Yes,No Holiday,Yes,0,0.0
16,16,17,5,31-07-2015,946,Open,Yes,No Holiday,Yes,1,2010.5
17,17,18,5,31-07-2015,936,Open,Yes,No Holiday,Yes,1,2012.26923077
18,18,19,5,31-07-2015,718,Open,Yes,No Holiday,Yes,0,0.0
19,19,20,5,31-07-2015,974,Open,Yes,No Holiday,No,1,2014.76923077
20,20,21,5,31-07-2015,682,Open,Yes,No Holiday,Yes,1,2009.86538462
21,21,22,5,31-07-2015,633,Open,Yes,No Holiday,No,1,2012.42307692
22,22,23,5,31-07-2015,560,Open,Yes,No Holiday,Yes,0,0.0
23,23,24,5,31-07-2015,1082,Open,Yes,No Holiday,Yes,1,2011.76923077
24,24,25,5,31-07-2015,1586,Open,Yes,No Holiday,Yes,0,0.0
25,25,26,5,31-07-2015,611,Open,Yes,No Holiday,Yes,0,0.0
26,26,27,5,31-07-2015,1263,Open,Yes,No Holiday,Yes,1,2011.09615385
27,27,28,5,31-07-2015,663,Open,Yes,No Holiday,Yes,0,0.0
28,28,29,5,31-07-2015,737,Open,Yes,No Holiday,Yes,0,0.0
