,Store,Weekday,Date,People,Open/Close,Promotions of the store,Holiday_of_the_city,Holiday_Of_Educational_Institute,CompetitionDist,CompetitionOpen
0,1,5,31-07-2015,555,Open,Yes,No Holiday,Yes,1270.0,2008.75
1,2,5,31-07-2015,625,Open,Yes,No Holiday,Yes,570.0,2007.91666667
2,3,5,31-07-2015,821,Open,Yes,No Holiday,Yes,14130.0,2007.0
3,4,5,31-07-2015,1498,Open,Yes,No Holiday,Yes,620.0,2009.75
4,5,5,31-07-2015,559,Open,Yes,No Holiday,Yes,29910.0,2015.33333333
5,6,5,31-07-2015,589,Open,Yes,No Holiday,Yes,310.0,2014.0
6,7,5,31-07-2015,1414,Open,Yes,No Holiday,Yes,24000.0,2013.33333333
7,8,5,31-07-2015,833,Open,Yes,No Holiday,Yes,7520.0,2014.83333333
8,9,5,31-07-2015,687,Open,Yes,No Holiday,Yes,2030.0,2000.66666667
9,10,5,31-07-2015,681,Open,Yes,No Holiday,Yes,3160.0,2009.75
10,11,5,31-07-2015,1236,Open,Yes,No Holiday,Yes,960.0,2011.91666667
11,12,5,31-07-2015,962,Open,Yes,No Holiday,Yes,1070.0,2008.58333333
12,13,5,31-07-2015,568,Open,Yes,No Holiday,No,310.0,2008.58333333
13,14,5,31-07-2015,710,Open,Yes,No Holiday,Yes,1300.0,2014.25
14,15,5,31-07-2015,766,Open,Yes,No Holiday,Yes,4110.0,2010.25
15,16,5,31-07-2015,979,Open,Yes,No Holiday,Yes,3270.0,2008.58333333
16,17,5,31-07-2015,946,Open,Yes,No Holiday,Yes,50.0,2006.0
17,18,5,31-07-2015,936,Open,Yes,No Holiday,Yes,13840.0,2010.5
18,19,5,31-07-2015,718,Open,Yes,No Holiday,Yes,3240.0,2008.58333333
19,20,5,31-07-2015,974,Open,Yes,No Holiday,No,2340.0,2009.41666667
20,21,5,31-07-2015,682,Open,Yes,No Holiday,Yes,550.0,1999.83333333
21,22,5,31-07-2015,633,Open,Yes,No Holiday,No,1040.0,2008.58333333
22,23,5,31-07-2015,560,Open,Yes,No Holiday,Yes,4060.0,2005.66666667
23,24,5,31-07-2015,1082,Open,Yes,No Holiday,Yes,4590.0,2000.25
24,25,5,31-07-2015,1586,Open,Yes,No Holiday,Yes,430.0,2003.33333333
25,26,5,31-07-2015,611,Open,Yes,No Holiday,Yes,2300.0,2008.58333333
26,27,5,31-07-2015,1263,Open,Yes,No Holiday,Yes,60.0,2005.08333333
27,28,5,31-07-2015,663,Open,Yes,No Holiday,Yes,1200.0,2014.83333333
28,29,5,31-07-2015,737,Open,Yes,No Holiday,Yes,2170.0,2008.58333333
29,30,5,31-07-2015,625,Open,Yes,No Holiday,Yes,40.0,2014.16666667
30,31,5,31-07-2015,645,Open,Yes,No Holiday,Yes,9800.0,2012.58333333
31,32,5,31-07-2015,635,Open,Yes,No Holiday,No,2910.0,2008.58333333
32,33,5,31-07-2015,915,Open,Yes,No Holiday,Yes,1320.0,2013.41666667
33,34,5,31-07-2015,1162,Open,Yes,No Holiday,Yes,2240.0,2009.75
34,35,5,31-07-2015,777,Open,Yes,No Holiday,Yes,7660.0,2000.83333333
35,36,5,31-07-2015,1251,Open,Yes,No Holiday,No,540.0,2003.5
36,37,5,31-07-2015,888,Open,Yes,No Holiday,Yes,4230.0,2015.0
37,38,5,31-07-2015,608,Open,Yes,No Holiday,Yes,1090.0,2007.33333333
38,39,5,31-07-2015,929,Open,Yes,No Holiday,Yes,260.0,2006.83333333
39,40,5,31-07-2015,678,Open,Yes,No Holiday,Yes,180.0,2008.58333333
40,41,5,31-07-2015,494,Open,Yes,No Holiday,No,1180.0,2008.58333333
41,42,5,31-07-2015,1235,Open,Yes,No Holiday,Yes,290.0,2008.58333333
42,43,5,31-07-2015,683,Open,Yes,No Holiday,Yes,4880.0,2008.58333333
43,44,5,31-07-2015,665,Open,Yes,No Holiday,Yes,540.0,2011.5
44,45,5,31-07-2015,442,Open,Yes,No Holiday,Yes,9710.0,2014.16666667
45,46,5,31-07-2015,775,Open,Yes,No Holiday,No,1200.0,2005.75
46,47,5,31-07-2015,1021,Open,Yes,No Holiday,Yes,270.0,2013.33333333
47,48,5,31-07-2015,390,Open,Yes,No Holiday,Yes,1060.0,2012.41666667
48,49,5,31-07-2015,666,Open,Yes,No Holiday,Yes,18010.0,2007.75
49,50,5,31-07-2015,441,Open,Yes,No Holiday,Yes,6260.0,2009.91666667
50,51,5,31-07-2015,610,Open,Yes,No Holiday,No,10570.0,2013.58333333
51,52,5,31-07-2015,527,Open,Yes,No Holiday,No,450.0,2014.33333333
52,53,5,31-07-2015,690,Open,Yes,No Holiday,Yes,30360.0,2013.75
53,54,5,31-07-2015,889,Open,Yes,No Holiday,Yes,7170.0,2014.66666667
54,55,5,31-07-2015,673,Open,Yes,No Holiday,Yes,720.0,2004.91666667
55,56,5,31-07-2015,619,Open,Yes,No Holiday,Yes,6620.0,2012.25
56,57,5,31-07-2015,1025,Open,Yes,No Holiday,Yes,420.0,2014.5
57,58,5,31-07-2015,603,Open,Yes,No Holiday,No,7340.0,2008.41666667
58,59,5,31-07-2015,628,Open,Yes,No Holiday,Yes,2840.0,2007.5
59,60,5,31-07-2015,776,Open,Yes,No Holiday,Yes,5540.0,2009.83333333
60,61,5,31-07-2015,665,Open,Yes,No Holiday,Yes,350.0,2008.0
61,62,5,31-07-2015,772,Open,Yes,No Holiday,Yes,2050.0,2008.58333333
62,63,5,31-07-2015,846,Open,Yes,No Holiday,Yes,3700.0,2010.5
63,64,5,31-07-2015,935,Open,Yes,No Holiday,Yes,22560.0,2008.58333333
64,65,5,31-07-2015,561,Open,Yes,No Holiday,Yes,13840.0,2010.41666667
65,66,5,31-07-2015,636,Open,Yes,No Holiday,Yes,7660.0,2008.58333333
66,67,5,31-07-2015,912,Open,Yes,No Holiday,Yes,410.0,2006.16666667
67,68,5,31-07-2015,1341,Open,Yes,No Holiday,Yes,250.0,2008.58333333
68,69,5,31-07-2015,1371,Open,Yes,No Holiday,Yes,1130.0,2008.58333333
69,70,5,31-07-2015,741,Open,Yes,No Holiday,Yes,4840.0,2008.58333333
70,71,5,31-07-2015,869,Open,Yes,No Holiday,Yes,17500.0,2008.66666667
71,72,5,31-07-2015,520,Open,Yes,No Holiday,No,2200.0,2010.0
72,73,5,31-07-2015,537,Open,Yes,No Holiday,Yes,1650.0,2008.75
73,74,5,31-07-2015,929,Open,Yes,No Holiday,Yes,330.0,2008.58333333
74,75,5,31-07-2015,807,Open,Yes,No Holiday,Yes,22440.0,2014.0
75,76,5,31-07-2015,1228,Open,Yes,No Holiday,No,19960.0,2006.25
76,77,5,31-07-2015,780,Open,Yes,No Holiday,Yes,1090.0,2009.66666667
77,78,5,31-07-2015,610,Open,Yes,No Holiday,Yes,3510.0,2006.91666667
78,79,5,31-07-2015,643,Open,Yes,No Holiday,Yes,3320.0,2008.58333333
79,80,5,31-07-2015,675,Open,Yes,No Holiday,Yes,7910.0,2008.58333333
80,81,5,31-07-2015,640,Open,Yes,No Holiday,No,2370.0,2011.25
81,82,5,31-07-2015,1035,Open,Yes,No Holiday,Yes,22390.0,2008.33333333
82,83,5,31-07-2015,327,Open,Yes,No Holiday,Yes,2710.0,2008.58333333
83,84,5,31-07-2015,1439,Open,Yes,No Holiday,Yes,11810.0,2014.66666667
84,85,5,31-07-2015,971,Open,Yes,No Holiday,Yes,1870.0,2011.83333333
85,86,5,31-07-2015,678,Open,Yes,No Holiday,Yes,480.0,2005.16666667
86,87,5,31-07-2015,715,Open,Yes,No Holiday,Yes,560.0,2011.0
87,88,5,31-07-2015,776,Open,Yes,No Holiday,Yes,10690.0,2005.83333333
88,89,5,31-07-2015,716,Open,Yes,No Holiday,No,2380.0,2004.58333333
89,90,5,31-07-2015,1295,Open,Yes,No Holiday,Yes,330.0,2007.91666667
90,91,5,31-07-2015,554,Open,Yes,No Holiday,Yes,2410.0,2008.58333333
91,92,5,31-07-2015,701,Open,Yes,No Holiday,Yes,240.0,2008.58333333
92,93,5,31-07-2015,715,Open,Yes,No Holiday,Yes,16690.0,2008.58333333
93,94,5,31-07-2015,694,Open,Yes,No Holiday,Yes,14620.0,2008.58333333
94,95,5,31-07-2015,920,Open,Yes,No Holiday,Yes,1890.0,2014.83333333
95,96,5,31-07-2015,612,Open,Yes,No Holiday,Yes,8780.0,2005.16666667
96,97,5,31-07-2015,802,Open,Yes,No Holiday,Yes,8980.0,2008.58333333
97,98,5,31-07-2015,512,Open,Yes,No Holiday,Yes,15140.0,2007.0
98,99,5,31-07-2015,507,Open,Yes,No Holiday,No,2030.0,2003.91666667
99,100,5,31-07-2015,764,Open,Yes,No Holiday,No,17930.0,2008.58333333
100,101,5,31-07-2015,915,Open,Yes,No Holiday,Yes,2440.0,2008.58333333
101,102,5,31-07-2015,1414,Open,Yes,No Holiday,Yes,150.0,2008.0
102,103,5,31-07-2015,453,Open,Yes,No Holiday,Yes,5210.0,2015.41666667
