,Store,Weekday,Date,People,Open/Close,Promotions of the store,Holiday_of_the_city,Holiday_Of_Educational_Institute,Date_No
0,1,5,31-07-2015,555,Open,Yes,No Holiday,Yes,2015.66826484
1,2,5,31-07-2015,625,Open,Yes,No Holiday,Yes,2015.66826484
2,3,5,31-07-2015,821,Open,Yes,No Holiday,Yes,2015.66826484
3,4,5,31-07-2015,1498,Open,Yes,No Holiday,Yes,2015.66826484
4,5,5,31-07-2015,559,Open,Yes,No Holiday,Yes,2015.66826484
5,6,5,31-07-2015,589,Open,Yes,No Holiday,Yes,2015.66826484
6,7,5,31-07-2015,1414,Open,Yes,No Holiday,Yes,2015.66826484
7,8,5,31-07-2015,833,Open,Yes,No Holiday,Yes,2015.66826484
8,9,5,31-07-2015,687,Open,Yes,No Holiday,Yes,2015.66826484
9,10,5,31-07-2015,681,Open,Yes,No Holiday,Yes,2015.66826484
10,11,5,31-07-2015,1236,Open,Yes,No Holiday,Yes,2015.66826484
11,12,5,31-07-2015,962,Open,Yes,No Holiday,Yes,2015.66826484
12,13,5,31-07-2015,568,Open,Yes,No Holiday,No,2015.66826484
13,14,5,31-07-2015,710,Open,Yes,No Holiday,Yes,2015.66826484
14,15,5,31-07-2015,766,Open,Yes,No Holiday,Yes,2015.66826484
15,16,5,31-07-2015,979,Open,Yes,No Holiday,Yes,2015.66826484
16,17,5,31-07-2015,946,Open,Yes,No Holiday,Yes,2015.66826484
17,18,5,31-07-2015,936,Open,Yes,No Holiday,Yes,2015.66826484
18,19,5,31-07-2015,718,Open,Yes,No Holiday,Yes,2015.66826484
19,20,5,31-07-2015,974,Open,Yes,No Holiday,No,2015.66826484
20,21,5,31-07-2015,682,Open,Yes,No Holiday,Yes,2015.66826484
21,22,5,31-07-2015,633,Open,Yes,No Holiday,No,2015.66826484
22,23,5,31-07-2015,560,Open,Yes,No Holiday,Yes,2015.66826484
23,24,5,31-07-2015,1082,Open,Yes,No Holiday,Yes,2015.66826484
24,25,5,31-07-2015,1586,Open,Yes,No Holiday,Yes,2015.66826484
25,26,5,31-07-2015,611,Open,Yes,No Holiday,Yes,2015.66826484
26,27,5,31-07-2015,1263,Open,Yes,No Holiday,Yes,2015.66826484
27,28,5,31-07-2015,663,Open,Yes,No Holiday,Yes,2015.66826484
28,29,5,31-07-2015,737,Open,Yes,No Holiday,Yes,2015.66826484
29,30,5,31-07-2015,625,Open,Yes,No Holiday,Yes,2015.66826484
30,31,5,31-07-2015,645,Open,Yes,No Holiday,Yes,2015.66826484
31,32,5,31-07-2015,635,Open,Yes,No Holiday,No,2015.66826484
32,33,5,31-07-2015,915,Open,Yes,No Holiday,Yes,2015.66826484
33,34,5,31-07-2015,1162,Open,Yes,No Holiday,Yes,2015.66826484
34,35,5,31-07-2015,777,Open,Yes,No Holiday,Yes,2015.66826484
35,36,5,31-07-2015,1251,Open,Yes,No Holiday,No,2015.66826484
36,37,5,31-07-2015,888,Open,Yes,No Holiday,Yes,2015.66826484
37,38,5,31-07-2015,608,Open,Yes,No Holiday,Yes,2015.66826484
38,39,5,31-07-2015,929,Open,Yes,No Holiday,Yes,2015.66826484
39,40,5,31-07-2015,678,Open,Yes,No Holiday,Yes,2015.66826484
40,41,5,31-07-2015,494,Open,Yes,No Holiday,No,2015.66826484
41,42,5,31-07-2015,1235,Open,Yes,No Holiday,Yes,2015.66826484
42,43,5,31-07-2015,683,Open,Yes,No Holiday,Yes,2015.66826484
43,44,5,31-07-2015,665,Open,Yes,No Holiday,Yes,2015.66826484
44,45,5,31-07-2015,442,Open,Yes,No Holiday,Yes,2015.66826484
45,46,5,31-07-2015,775,Open,Yes,No Holiday,No,2015.66826484
46,47,5,31-07-2015,1021,Open,Yes,No Holiday,Yes,2015.66826484
47,48,5,31-07-2015,390,Open,Yes,No Holiday,Yes,2015.66826484
48,49,5,31-07-2015,666,Open,Yes,No Holiday,Yes,2015.66826484
49,50,5,31-07-2015,441,Open,Yes,No Holiday,Yes,2015.66826484
50,51,5,31-07-2015,610,Open,Yes,No Holiday,No,2015.66826484
51,52,5,31-07-2015,527,Open,Yes,No Holiday,No,2015.66826484
52,53,5,31-07-2015,690,Open,Yes,No Holiday,Yes,2015.66826484
53,54,5,31-07-2015,889,Open,Yes,No Holiday,Yes,2015.66826484
54,55,5,31-07-2015,673,Open,Yes,No Holiday,Yes,2015.66826484
55,56,5,31-07-2015,619,Open,Yes,No Holiday,Yes,2015.66826484
56,57,5,31-07-2015,1025,Open,Yes,No Holiday,Yes,2015.66826484
57,58,5,31-07-2015,603,Open,Yes,No Holiday,No,2015.66826484
58,59,5,31-07-2015,628,Open,Yes,No Holiday,Yes,2015.66826484
59,60,5,31-07-2015,776,Open,Yes,No Holiday,Yes,2015.66826484
60,61,5,31-07-2015,665,Open,Yes,No Holiday,Yes,2015.66826484
61,62,5,31-07-2015,772,Open,Yes,No Holiday,Yes,2015.66826484
62,63,5,31-07-2015,846,Open,Yes,No Holiday,Yes,2015.66826484
63,64,5,31-07-2015,935,Open,Yes,No Holiday,Yes,2015.66826484
64,65,5,31-07-2015,561,Open,Yes,No Holiday,Yes,2015.66826484
65,66,5,31-07-2015,636,Open,Yes,No Holiday,Yes,2015.66826484
66,67,5,31-07-2015,912,Open,Yes,No Holiday,Yes,2015.66826484
67,68,5,31-07-2015,1341,Open,Yes,No Holiday,Yes,2015.66826484
68,69,5,31-07-2015,1371,Open,Yes,No Holiday,Yes,2015.66826484
69,70,5,31-07-2015,741,Open,Yes,No Holiday,Yes,2015.66826484
70,71,5,31-07-2015,869,Open,Yes,No Holiday,Yes,2015.66826484
71,72,5,31-07-2015,520,Open,Yes,No Holiday,No,2015.66826484
72,73,5,31-07-2015,537,Open,Yes,No Holiday,Yes,2015.66826484
73,74,5,31-07-2015,929,Open,Yes,No Holiday,Yes,2015.66826484
74,75,5,31-07-2015,807,Open,Yes,No Holiday,Yes,2015.66826484
75,76,5,31-07-2015,1228,Open,Yes,No Holiday,No,2015.66826484
76,77,5,31-07-2015,780,Open,Yes,No Holiday,Yes,2015.66826484
77,78,5,31-07-2015,610,Open,Yes,No Holiday,Yes,2015.66826484
78,79,5,31-07-2015,643,Open,Yes,No Holiday,Yes,2015.66826484
79,80,5,31-07-2015,675,Open,Yes,No Holiday,Yes,2015.66826484
80,81,5,31-07-2015,640,Open,Yes,No Holiday,No,2015.66826484
81,82,5,31-07-2015,1035,Open,Yes,No Holiday,Yes,2015.66826484
82,83,5,31-07-2015,327,Open,Yes,No Holiday,Yes,2015.66826484
83,84,5,31-07-2015,1439,Open,Yes,No Holiday,Yes,2015.66826484
84,85,5,31-07-2015,971,Open,Yes,No Holiday,Yes,2015.66826484
85,86,5,31-07-2015,678,Open,Yes,No Holiday,Yes,2015.66826484
86,87,5,31-07-2015,715,Open,Yes,No Holiday,Yes,2015.66826484
87,88,5,31-07-2015,776,Open,Yes,No Holiday,Yes,2015.66826484
88,89,5,31-07-2015,716,Open,Yes,No Holiday,No,2015.66826484
89,90,5,31-07-2015,1295,Open,Yes,No Holiday,Yes,2015.66826484
90,91,5,31-07-2015,554,Open,Yes,No Holiday,Yes,2015.66826484
91,92,5,31-07-2015,701,Open,Yes,No Holiday,Yes,2015.66826484
92,93,5,31-07-2015,715,Open,Yes,No Holiday,Yes,2015.66826484
93,94,5,31-07-2015,694,Open,Yes,No Holiday,Yes,2015.66826484
94,95,5,31-07-2015,920,Open,Yes,No Holiday,Yes,2015.66826484
95,96,5,31-07-2015,612,Open,Yes,No Holiday,Yes,2015.66826484
96,97,5,31-07-2015,802,Open,Yes,No Holiday,Yes,2015.66826484
97,98,5,31-07-2015,512,Open,Yes,No Holiday,Yes,2015.66826484
98,99,5,31-07-2015,507,Open,Yes,No Holiday,No,2015.66826484
99,100,5,31-07-2015,764,Open,Yes,No Holiday,No,2015.66826484
100,101,5,31-07-2015,915,Open,Yes,No Holiday,Yes,2015.66826484
101,102,5,31-07-2015,1414,Open,Yes,No Holiday,Yes,2015.66826484
102,103,5,31-07-2015,453,Open,Yes,No Holiday,Yes,2015.66826484
103,104,5,31-07-2015,1223,Open,Yes,No Holiday,Yes,2015.66826484
104,105,5,31-07-2015,595,Open,Yes,No Holiday,Yes,2015.66826484
105,106,5,31-07-2015,958,Open,Yes,No Holiday,Yes,2015.66826484
106,107,5,31-07-2015,1021,Open,Yes,No Holiday,Yes,2015.66826484
